PMID,AF
23402226,"Van Puymbroeck, Marieke;Burk, Brooke N;Shinew, Kimberly J;Cronan Kuhlenschmidt, Megan;Schmid, Arlene A"
22415476,"Degnim, Amy C;Miller, Joyce;Hoskin, Tanya L;Boughey, Judy C;Loprinzi, Margie;Thomsen, Kristine;Maloney, Shaun;Baddour, Larry M;Cheville, Andrea L"
23248037,"Maschio, Marta;Dinapoli, Loredana;Sperati, Francesca;Pace, Andrea;Fabi, Alessandra;Vidiri, Antonello;Pompili, Alfredo;Carapella, Carmine Maria"
23364961,"An, Kyung Jin;Joung, Yoo Sook;Sung, Ki Woong;Kim, Ji-Hae"
23258723,"Mansano-Schlosser, Thalyta Cristina;Ceolim, Maria Filomena"
22406597,"Lee, Valerie;Cheng, Haiying;Li, Guangyuan;Saif, Muhammad Wasif"
22864472,"de Leeuw, Jacqueline;Prins, Judith B;Teerenstra, Steven;Merkx, Matthias A W;Marres, Henri A M;van Achterberg, Theo"
21135786,"Hawthorn, Maureen"
22926317,"Schumacher, Jessica R;Palta, Mari;Loconte, Noelle K;Trentham-Dietz, Amy;Witt, Whitney P;Heidrich, Susan M;Smith, Maureen A"
23050730,"Jafari, Najmeh;Zamani, Ahmadreza;Lazenby, Mark;Farajzadegan, Ziba;Emami, Hamid;Loghmani, Amir"
20589658,"Stern, Marilyn;Krivoy, Elena;Foster, Rebecca H;Bitsko, Matthew;Toren, Amos;Ben-Arush, Myriam"
21879639,"Cousson-Gélie, Florence;Bruchon-Schweitzer, Marilou;Atzeni, Thierry;Houede, Nadine"
22286626,"Jota, Gj;Karadžov, Z;Panovski, M;Joksimović, N;Kartalov, A;Gelevski, R;Joksimović, V;Serafimoski, V"
20605851,"Hack, Thomas F;McClement, Susan E;Chochinov, Harvey M;Cann, Beverley J;Hassard, Thomas H;Kristjanson, Linda J;Harlos, Mike"
23200557,"Markowski, Jarosław;Dziubdziela, Włodzimierz;Podlejska, Karina;Likus, Wirginia;Pasternak, Katarzyna;Kajor, Maciej;Witkowska, Małgorzata;Gierek, Tatiana;Paluch, Jarosław"
23252510,"Tatematsu, N;Hasegawa, S;Tanaka, E;Sakai, Y;Tsuboyama, T"
20625123,"Moraska, Amanda R;Sood, Amit;Dakhil, Shaker R;Sloan, Jeff A;Barton, Debra;Atherton, Pamela J;Suh, Jason J;Griffin, Patricia C;Johnson, David B;Ali, Aneela;Silberstein, Peter T;Duane, Steven F;Loprinzi, Charles L"
21883845,"Soeyonggo, Tony;Warde, Padraig;Fleshner, Neil;Timilshina, Narhari;Alibhai, Shabbir M H"
23623178,"Huang, Chiung-Yu;Hsu, Mei-Chi"
22052746,"Charlier, Caroline;Van Hoof, Elke;Pauwels, Evelyn;Lechner, Lilian;Spittaels, Heleen;De Bourdeaudhuij, Ilse"
22955850,"Kapidzic, A;Korfage, I J;van Dam, L;van Roon, A H C;Reijerink, J C I Y;Zauber, A G;van Ballegooijen, M;Kuipers, E J;van Leerdam, M E"
22434746,"Hocking, Matthew C;Schwartz, Lisa A;Hobbie, Wendy L;Derosa, Branlyn Werba;Ittenbach, Richard F;Mao, Jun J;Ginsberg, Jill P;Kazak, Anne E"
22829323,"Goltz, Jan Peter;Petritsch, Bernhard;Kirchner, Johannes;Hahn, Dietbert;Kickuth, Ralph"
20721633,"Chiao, Elizabeth Y;Nambi, Preethi V;Naik, Aanand D"
20138809,"Hopwood, Penelope;Haviland, Joanne S;Sumo, Georges;Mills, Judith;Bliss, Judith M;Yarnold, John R"
22985815,"Siddiqui, Farzan;Gwede, Clement K"
22138966,"Robinson, Kirstine M;Christensen, Karl Bang;Ottesen, Bent;Krasnik, Allan"
21365332,"Hazewinkel, Menke H;Stalpers, Lukas J A;Dijkgraaf, Marcel G;Roovers, Jan-Paul W R"
22225932,"Galantino, Mary Lou;Greene, Laurie;Archetto, Benjamin;Baumgartner, Melissa;Hassall, Paula;Murphy, Joanna Kluz;Umstetter, Jamie;Desai, Krupali"
22305250,"Beatty, L J;Adams, J;Sibbritt, D;Wade, T D"
21859908,"Tavernier, Susan S;Totten, Annette M;Beck, Susan L"
21783415,"Sun, Virginia;Borneman, Tami;Koczywas, Marianna;Cristea, Mihaela;Piper, Barbara F;Uman, Gwen;Ferrell, Betty"
22364607,"Caro, A;Olona, C;Jiménez, A;Olona, M;Vicente, V"
22255012,"Cheng, Chihwen;Stokes, Todd H;Wang, May D"
21870118,"Ruiz, Jimmy;Case, Doug;Enevold, Gina;Rosdhal, Robin;Tatter, Stephen B;Ellis, Thomas L;McQuellon, Richard P;McMullen, Kevin P;Stieber, Volker W;Shaw, Edward G;Lesser, Glenn J"
22797683,"Chung, Oi Kwan Joyce;Li, Ho Cheung William;Chiu, Sau Ying;Lopez, Violeta"
23306934,"Hung, Yun-Chi;Bauer, Judith;Horsley, Pamela;Waterhouse, Mary;Bashford, John;Isenring, Elisabeth"
22783914,"Seklehner, Stephan;Hladschik-Kermer, Birgit;Lusuardi, Lukas;Schabauer, Christoph;Riedl, Claus;Engelhardt, Paul F"
22544458,"Ashing-Giwa, Kimlin;Rosales, Monica;Lai, Lily;Weitzel, Jeffrey"
22375523,"Gish, Robert G;Lencioni, Riccardo;Di Bisceglie, Adrian M;Raoul, Jean-Luc;Mazzaferro, Vincenzo"
22972874,"Aynehchi, Behrad B;Obourn, Chelsea;Sundaram, Krishnamurthi;Bentsianov, Boris L;Rosenfeld, Richard M"
23656858,"Einberg, Eva-Lena;Kadrija, Ibadete;Brunt, David;Nygren, Jens N;Svedberg, Petra"
23281602,"Cataldo, Janine K;Paul, Steven;Cooper, Bruce;Skerman, Helen;Alexander, Kimberly;Aouizerat, Bradley;Blackman, Virginia;Merriman, John;Dunn, Laura;Ritchie, Christine;Yates, Patsy;Miaskowski, Christine"
20922193,"Mihalache, Florentina;Tantau, Marcel;Diaconu, Brindusa;Acalovschi, Monica"
23143593,"Koczywas, Marianna;Williams, Anna Cathy;Cristea, Mihaela;Reckamp, Karen;Grannis, Frederic W;Tiep, Brian L;Uman, Gwen;Ferrell, Betty"
23337215,"Hornberger, John;Degtiar, Irina;Gutierrez, Hialy;Shewade, Ashwini;Henner, W David;Becker, Shawn;Varadhachary, Gauri;Varadachary, Gauri;Raab, Stephen"
23635347,"Donnez, Jacques"
23008320,"Pachman, Deirdre R;Barton, Debra L;Swetz, Keith M;Loprinzi, Charles L"
22354622,"Chen, Emily;Khan, Luluel;Zhang, Liying;Nguyen, Janet;Cramarossa, Gemma;Tsao, May;Danjoux, Cyril;Barnes, Elizabeth;Sahgal, Arjun;Holden, Lori;Jon, Flo;Dennis, Kristopher;Culleton, Shaelyn;Chow, Edward"
20618344,"Alvarez-Blasco, Francisco;Luque-Ramírez, Manuel;Escobar-Morreale, Héctor F"
22716038,"Walker, Mark S;Pharm, Elaine Yu;Kerr, Jiandong;Yim, Yeun Mi;Stepanski, Edward J;Schwartzberg, Lee S"
21921803,"Verheijen, René H M;Cibula, David;Zola, Paolo;Reed, Nicolas"
20888624,"Xylinas, Evanguelos;Ploussard, Guillaume;Durand, Xavier;de La Taille, Alexandre;Gillion, Norman;Allory, Yves;Vordos, Dimitri;Hoznek, Andras;Abbou, Claude Clément;Salomon, Laurent"
23221377,"Vanagas, Giedrius;Mickeviciene, Ausra;Ulys, Albertas"
22281309,"Collinge, William;MacDonald, Gayle;Walton, Tracy"
21469248,"Leonhardt, Fernando Danelon;Quon, Harry;Abrahão, Marcio;O'Malley, Bert W;Weinstein, Gregory S"
22067696,"Hafslund, Bjorg;Espehaug, Birgitte;Nortvedt, Monica W"
21391070,"Parry, Carla;Morningstar, Elizabeth;Kendall, Jeffery;Coleman, Eric A"
21298744,"Weintraub, Naomi;Rot, Ido;Shoshani, Naomi;Pe'er, Jacob;Weintraub, Michael"
21538680,"Goedendorp, Martine M;Gielissen, Marieke F M;Peters, Marlies E W J;Verhagen, Constans A H H V M;Bleijenberg, Gijs"
23169523,"Bruera, Eduardo;Hui, David;Dalal, Shalini;Torres-Vigil, Isabel;Trumble, Joseph;Roosth, Joseph;Krauter, Susan;Strickland, Carol;Unger, Kenneth;Palmer, J Lynn;Allo, Julio;Frisbee-Hume, Susan;Tarleton, Kenneth"
21714935,"Weber, Damien C;Caparrotti, Francesca;Laouiti, Mohamed;Malek, Karim"
22116254,"Abdelghany, A;Nolan, A;Freeman, R"
22139710,"Arkader, Alexandre;Yang, Christine H;Tolo, Vernon T"
21887678,"Letourneau, Joseph M;Ebbel, Erin E;Katz, Patricia P;Katz, Audra;Ai, Wei Z;Chien, A Jo;Melisko, Michelle E;Cedars, Marcelle I;Rosen, Mitchell P"
21958099,"Lien, Karen;Zeng, Liang;Nguyen, Janet;Cramarossa, Gemma;Culleton, Shaelyn;Caissie, Amanda;Lutz, Steve;Chow, Edward"
20824501,"Smallfield, George B;Allison, Jeroan;Wilcox, C Mel"
22615047,"Mystakidou, Kyriaki;Tsilika, Eleni;Parpa, Efi;Gogou, Pinelopi;Panagiotou, Irene;Vassiliou, Ioannis;Gouliamos, Athanasios"
22739808,"Aihara, Tomohiko;Mukai, Hirofumi"
21783011,"Berry, Donna L"
23007010,"Butowski, Nicholas;Chang, Susan M"
23009053,"Dupuis, L Lee;Ethier, Marie-Chantal;Tomlinson, Deborah;Hesser, Tanya;Sung, Lillian"
